No.,Title,Venue,Year,Author,类比阶段【73】【74】,,,,Create Process,,,,,,,类比类型（把定义写清楚）也要标记好文章,,,,,,自动化程度（Assist (人机筛选结合) < Augment (Co-create人机相互刺激) < Automate (机器自主迭代) 90%）,specific Domain,大分类（按照行业分类）creative industires/intelligent manufacturing/education and service indusctires,Theory/Techniques/Application(Contribution Category List),Keywords,Note,,,,,,,,
50,Inkspire: Supporting Design Exploration with Generative AI through Analogical Sketching,CHI,2025,David Chuan-En Lin,✔️√,,✔️√,✔️√,✔️√,✔️√,✔️√,✔️√,,✔️√,,✔️√,✔️√,,✔️√,,,automate,概念设计,Creative Industries,Application,,,,,,,,,,
51,Intuit: Explain Quantum Computing Concepts via AR-based Analogy,CHI,2025,Manusha Karunathilaka,✔️√,✔️√,✔️√,✔️√,,✔️√,✔️√,✔️√,✔️√,,✔️√,✔️√,,,✔️√,✔️√,,assist,物理教育,Education and Service Industries,Application,,,,,,,,,,
52,Design and fabrication by example,TOG,2014,Adriana Schulz,√,√,√,,,,,√,√,,,,√,√,,,,assist,家具&工业设计,Intelligent Manufacturing,Application,,,,,,,,,,
57,Design Analogy by Functional Case Modeling and BioTRIZ in Biologically Inspired Design,ICMD,2023,Guo-Niu Zhu,√,√,,,,√,,√,,√,√,,√,√,√,√,,augment,生物启发式机械设计,Intelligent Manufacturing,Application,,,,,,,,,,
61,SMFM-based analogy retrieval tool for the conceptual design of innovative products,Computers in Industry ,2023,H Liu,√,√,√,,,,,√,√,√,√,,,,√,√,,assist,工业设计,Intelligent Manufacturing,Application,,,,,,,,,,
62,Computer-Aided Design Ideation Using InnoGPS,IDETC,2019,Jianxi Luo,,√,√,,√,√,√,√,,,,√,,,√,√,√,augment,专利设计,Intelligent Manufacturing,Application,,,,,,,,,,
64,Fishbone and nettle fiber inspired stretchable strain sensor with high sensitivity and wide sensing range for wearable electronics,Chemical Engineering Journal,2024,Mingdong Li ,,,√,,,,,√,√,√,√,,,√,√,,,assist,可穿戴产品,Intelligent Manufacturing,Application,,,,,,,,,,
67,Intelligent knowledge-based system to improve injection molding process,Journal of Industrial Information Integration,2022,Mohammad Reza Khosravani,,√,,√,,,,,√,√,√,,,√,√,√,√,automate,生产线中的智能解决方案和设备,Intelligent Manufacturing,Application,,,,,,,,,,
70,DANE: Fostering Creativity in and through Biologically Inspired Design,Design Creativity,2010,Swaroop Vattam,√,√,√,√,,√,√,,,√,,,,√,√,,√,augment,生物启发式机械设计教育,Education and Service Industries,Application,,,,,,,,,,
71,An exploration-based approach to computationally supported design-by-analogy using D3,AI EDAM,2020,Hyeonik Song,,√,,,,√,√,,,,√,√,,√,√,,,augment,可视化设计,Creative Industries,Application,,,,,,,,,,
72,Design-by-analogy: A characteristic tree method for geotechnical engineering,Automation in Construction,2017,ZhiJia You,,√,√,√,,√,√,√,√,,√,√,,,√,,√,assist,岩土智能制造,Intelligent Manufacturing,Application,,,,,,,,,,
