No.,Title,Venue,Year,Author,Analogy Process,,,,Create Process,,,,,,,Representation,,,,,,Automation Level,Application,specific Domain,Keywords,Note,,,,,,,,
52,Design and fabrication by example,TOG,2014,Adriana Schulz,√,√,√,,,,,√,√,,,,√,√,,,,assist,Intelligent Manufacturing,家具&工业设计,,,,,,,,,,
57,Design Analogy by Functional Case Modeling and BioTRIZ in Biologically Inspired Design,ICMD,2023,Guo-Niu Zhu,√,√,,,,√,,√,,√,√,,√,√,√,√,,augment,Intelligent Manufacturing,生物启发式机械设计,,,,,,,,,,
61,SMFM-based analogy retrieval tool for the conceptual design of innovative products,Computers in Industry,2023,H Liu,√,√,√,,,,,√,√,√,√,,,,√,√,,assist,Intelligent Manufacturing,工业设计,,,,,,,,,,
62,COMPUTER-AIDED DESIGN IDEATION USING INNOGPS,IDETC,2019,Jianxi Luo,,√,√,,√,√,√,√,,,,√,,,√,√,√,augment,Intelligent Manufacturing,专利设计,,,,,,,,,,
64,Fishbone and nettle fiber inspired stretchable strain sensor with high sensitivity and wide sensing range for wearable electronics,Chemical Engineering Journal,2024,Mingdong Li,,,√,,,,,√,√,√,√,,,√,√,,,assist,Intelligent Manufacturing,可穿戴产品,,,,,,,,,,
67,Intelligent knowledge-based system to improve injection molding process,Journal of Industrial Information Integration,2022,Mohammad Reza Khosravani,,√,,√,,,,,√,√,√,,,√,√,√,√,automate,Intelligent Manufacturing,生产线中的智能解决方案和设备,,,,,,,,,,
70,DANE: Fostering Creativity in and through Biologically Inspired Design,Design Creativity,2010,Swaroop Vattam,√,√,√,√,,√,√,,,√,,,,√,√,,√,augment,Education and Service Industries,生物启发式机械设计教育,,,,,,,,,,
71,An exploration-based approach to computationally supported design-by-analogy using D3,AI EDAM,2020,Hyeonik Song,,√,,,,√,√,,,,√,√,,√,√,,,augment,Creative Industries,可视化设计,,,,,,,,,,
72,Design-by-analogy: A characteristic tree method for geotechnical engineering,Automation in Construction,2017,ZhiJia You,,√,√,√,,√,√,√,√,,√,√,,,√,,√,assist,Intelligent Manufacturing,岩土智能制造,,,,,,,,,,
75,Designing Drone Chi Unpacking the Thinking and Making of Somaesthetic Human-Drone Interaction,DIS,2020,Cameron J. Turner,√,,,,,,,,√,,√,,,,,√,√,assist,Education and Service Industries,感官迁移设计,,,,,,,,,,
76,Analogies to Succeed: Application to a Service Design Problem,Design Society,2014,Diana P. Moreno,√,√,√,,√,√,√,√,,,√,√,,,,√,,assist,Education and Service Industries,金融服务设计,,,,,,,,,,
